SYMBOL  PRICE   DATE
SYM1	122.34	2024-02-28
SYM2	345.67	2024-01-27
SYM3	456.78	2024-02-26
SYM4	567.89	2024-02-25
SYM5	678.90	2024-02-24
SYM6	789.01	2024-02-23
SYM7	890.12	2024-02-22
SYM8	901.23	2024-02-21
SYM9	112.34	2024-02-20
SYM10	223.45	2024-02-19
SYM11	334.56	2024-02-18
SYM12	445.67	2024-02-17
SYM13	556.78	2024-02-16
SYM14	667.89	2024-02-15
SYM15	778.90	2024-02-14
SYM16	889.01	2024-02-13
SYM17	900.12	2024-02-12
SYM18	123.45	2024-02-11
SYM19	234.56	2024-02-10
SYM20	345.67	2024-02-09
SYM21	456.78	2024-02-08
SYM22	567.89	2024-02-07
SYM23	678.90	2024-02-06
SYM24	789.01	2024-02-05
SYM25	890.12	2024-02-04
SYM26	901.23	2024-02-03
SYM27	112.34	2024-02-02
SYM28	223.45	2024-02-01
SYM29	334.56	2024-01-31
SYM30	445.67	2024-01-30
SYM31	556.78	2024-01-29
SYM32	667.89	2024-01-28
SYM33	778.90	2024-01-27
SYM34	889.01	2024-01-26
SYM35	900.12	2024-01-25
SYM36	123.45	2024-01-24
SYM37	234.56	2024-01-23
SYM38	345.67	2024-01-22
SYM39	456.78	2024-01-21
SYM40	567.89	2024-01-20
SYM41	678.90	2024-01-19
SYM42	789.01	2024-01-18
SYM43	890.12	2024-01-17
SYM44	901.23	2024-01-16
SYM45	112.34	2024-01-15
SYM46	223.45	2024-01-14
SYM47	334.56	2024-01-13
SYM48	445.67	2024-01-12
SYM49	556.78	2024-01-11
SYM50	667.89	2024-01-10
